,Corporeality,Sliminess,Intellect,Hostility,Grotesqueness,Exorcist Hired,Cost of Exorcism (sp)
167,38,22,18,53,25,Mundanifying Mystics,3780
168,72,48,89,67,82,Wraith Wranglers,5816
169,64,55,80,66,79,Mundanifying Mystics,2996
170,23,42,5,15,56,Phantom Pummelers,2469
171,50,40,71,82,79,Demon Destroyers,7043
172,36,31,14,78,27,Spectre Slayers,1291
173,23,17,12,62,28,Demon Destroyers,2608
174,14,8,50,17,20,Wraith Wranglers,1263
175,52,85,77,84,57,Spectre Slayers,4643
176,27,31,38,17,21,Entity Eliminators,1995
177,34,15,24,35,41,Demon Destroyers,3777
178,71,82,71,55,68,Phantom Pummelers,3683
179,50,24,51,18,19,Phantom Pummelers,1580
180,82,80,85,84,54,Demon Destroyers,5295
181,30,25,46,72,13,Wraith Wranglers,3531
182,32,44,31,6,32,Mundanifying Mystics,3363
183,45,53,82,86,75,Demon Destroyers,3898
184,79,72,26,48,73,Mundanifying Mystics,3119
185,38,62,22,11,17,Phantom Pummelers,4103
186,29,58,36,85,74,Demon Destroyers,4632
187,32,20,18,15,71,Entity Eliminators,2011
188,69,87,89,31,48,Wraith Wranglers,2660
189,68,38,53,82,86,Wraith Wranglers,8095
190,60,61,82,59,64,Phantom Pummelers,3077
191,31,31,26,16,13,Phantom Pummelers,1617
192,76,82,78,65,57,Demon Destroyers,4619
193,32,54,19,41,30,Phantom Pummelers,2908
194,15,58,35,31,21,Mundanifying Mystics,2637
195,39,37,28,8,11,Entity Eliminators,4542
196,33,47,37,59,46,Demon Destroyers,3144
197,58,63,65,74,69,Demon Destroyers,4949
198,26,21,32,57,30,Demon Destroyers,3371
199,43,20,20,33,25,Mundanifying Mystics,4158
200,72,79,84,60,48,Entity Eliminators,3061
201,28,34,51,38,42,Mundanifying Mystics,2521
202,51,70,52,91,55,Entity Eliminators,4521
203,71,56,40,78,50,Phantom Pummelers,3248
204,26,17,8,21,54,Wraith Wranglers,2866
205,37,16,70,8,38,Mundanifying Mystics,2980
206,71,54,52,93,78,Demon Destroyers,3984
207,26,44,24,22,49,Wraith Wranglers,1920
208,40,34,10,56,40,Wraith Wranglers,2191
209,19,63,92,51,27,Entity Eliminators,4435
210,55,71,75,84,62,Demon Destroyers,4121
211,28,45,87,84,85,Mundanifying Mystics,3488
212,15,6,17,11,22,Demon Destroyers,1717
213,83,75,55,67,45,Phantom Pummelers,5023
214,78,75,81,86,80,Wraith Wranglers,3930
215,37,69,42,31,22,Demon Destroyers,1910
216,15,19,11,29,21,Mundanifying Mystics,3018
217,28,53,10,33,19,Spectre Slayers,1146
218,29,64,78,55,73,Demon Destroyers,3123
219,51,39,10,34,46,Mundanifying Mystics,3295
220,48,59,72,72,80,Mundanifying Mystics,2544
221,66,74,88,87,52,Demon Destroyers,3212
222,38,47,21,79,20,Entity Eliminators,2455
223,43,41,17,14,17,Mundanifying Mystics,2589
224,57,81,60,81,68,Demon Destroyers,4537
225,79,45,60,75,78,Phantom Pummelers,2579
226,20,8,47,29,34,Phantom Pummelers,2528
227,43,37,54,24,19,Phantom Pummelers,2551
228,74,84,48,66,72,Demon Destroyers,4055
229,28,34,13,15,63,Demon Destroyers,2806
230,50,25,74,30,33,Mundanifying Mystics,2063
231,55,69,69,94,60,Mundanifying Mystics,2057
232,59,68,47,89,78,Phantom Pummelers,4820
233,52,73,70,67,77,Entity Eliminators,5184
234,17,49,41,28,13,Entity Eliminators,1597
235,76,56,62,74,70,Mundanifying Mystics,2892
236,78,47,56,86,68,Mundanifying Mystics,3565
237,20,27,16,17,8,Demon Destroyers,1312
238,27,20,22,56,28,Entity Eliminators,2228
239,49,72,39,90,73,Mundanifying Mystics,3002
240,27,41,40,24,23,Mundanifying Mystics,4413
241,80,65,81,80,76,Mundanifying Mystics,2006
242,27,13,45,19,15,Entity Eliminators,1447
243,20,38,21,62,20,Spectre Slayers,2120
244,57,45,18,22,22,Mundanifying Mystics,2247
245,55,64,25,75,58,Wraith Wranglers,5596
246,60,69,14,74,59,Demon Destroyers,3401
247,58,79,70,90,79,Demon Destroyers,4805
248,34,18,54,45,34,Spectre Slayers,4084
249,40,32,54,15,14,Demon Destroyers,1260
250,43,37,73,86,59,Phantom Pummelers,2866
251,27,18,52,7,36,Mundanifying Mystics,3170
252,68,64,86,62,67,Phantom Pummelers,2843
253,34,48,40,26,10,Phantom Pummelers,2896
254,57,38,44,19,37,Demon Destroyers,1721
255,27,54,27,33,57,Mundanifying Mystics,3026
256,48,56,84,79,72,Mundanifying Mystics,4234
257,51,49,67,16,35,Entity Eliminators,1715
258,86,77,47,63,81,Entity Eliminators,5036
259,43,30,33,47,27,Entity Eliminators,2626
260,30,20,59,43,56,Demon Destroyers,4227
261,57,40,47,16,20,Entity Eliminators,3006
262,33,30,49,79,66,Mundanifying Mystics,1869
263,79,72,69,86,92,Wraith Wranglers,4118
264,22,54,65,50,29,Demon Destroyers,2964
265,18,65,45,34,54,Mundanifying Mystics,2235
266,58,29,81,79,67,Entity Eliminators,5098
267,34,20,46,22,11,Phantom Pummelers,1689
268,33,20,11,19,35,Mundanifying Mystics,4882
269,66,26,64,25,35,Mundanifying Mystics,3125
270,6,40,32,80,20,Entity Eliminators,1773
271,38,22,56,20,63,Wraith Wranglers,2826
272,51,34,14,19,21,Demon Destroyers,1519
273,74,46,59,62,70,Spectre Slayers,2773
274,66,85,64,65,75,Wraith Wranglers,4475
275,64,59,21,35,33,Mundanifying Mystics,2654
276,24,20,19,27,29,Phantom Pummelers,1952
277,64,80,78,65,52,Mundanifying Mystics,2498
278,72,68,56,88,70,Phantom Pummelers,3432
279,15,11,10,11,23,Spectre Slayers,1312
280,52,16,74,66,41,Entity Eliminators,4478
281,82,86,85,77,69,Demon Destroyers,4228
282,85,69,74,74,85,Mundanifying Mystics,3894
283,36,53,15,70,39,Entity Eliminators,2802
284,25,11,25,66,34,Entity Eliminators,1961
285,20,21,26,12,38,Entity Eliminators,1621
286,14,52,42,81,24,Phantom Pummelers,2219
287,25,30,30,26,11,Demon Destroyers,1583
288,43,14,25,37,59,Mundanifying Mystics,2891
289,45,31,12,15,28,Entity Eliminators,2572
290,11,8,46,32,32,Phantom Pummelers,919
291,25,49,22,20,24,Spectre Slayers,2418
292,32,59,38,31,43,Demon Destroyers,1942
293,70,83,55,76,64,Wraith Wranglers,5808
294,43,29,57,35,26,Phantom Pummelers,2026
295,55,72,62,73,68,Mundanifying Mystics,2190
296,33,26,9,43,45,Demon Destroyers,2188
297,62,62,39,85,82,Entity Eliminators,4162
298,23,36,24,73,76,Entity Eliminators,2921
299,83,62,69,72,52,Wraith Wranglers,5964
300,62,56,86,92,77,Phantom Pummelers,3074
301,64,85,47,33,77,Mundanifying Mystics,3468
302,35,59,31,13,14,Phantom Pummelers,4318
303,60,47,75,78,35,Mundanifying Mystics,2988
304,66,35,66,34,75,Mundanifying Mystics,3709
305,42,68,85,39,51,Wraith Wranglers,4324
306,19,16,41,59,26,Mundanifying Mystics,2988
307,65,72,74,25,54,Demon Destroyers,2601
308,74,22,36,13,49,Demon Destroyers,2880
309,20,24,29,18,42,Entity Eliminators,2081
310,53,76,85,89,64,Mundanifying Mystics,2996
311,30,20,30,9,22,Phantom Pummelers,2016
312,26,49,46,39,28,Spectre Slayers,4066
313,77,78,43,67,50,Demon Destroyers,2583
314,73,75,84,38,69,Wraith Wranglers,5768
315,47,16,57,75,53,Entity Eliminators,2835
316,17,41,19,29,27,Entity Eliminators,1942
317,58,76,81,43,72,Mundanifying Mystics,3415
318,41,18,35,41,48,Wraith Wranglers,2501
319,57,34,20,48,17,Demon Destroyers,1905
320,22,20,14,29,11,Demon Destroyers,1483
321,27,38,29,45,18,Wraith Wranglers,2405
322,43,22,72,37,50,Entity Eliminators,3545
323,26,18,38,34,13,Phantom Pummelers,1834
324,51,42,40,51,64,Wraith Wranglers,5546
325,71,80,57,80,80,Mundanifying Mystics,3355
326,73,71,76,93,77,Phantom Pummelers,4227
327,75,77,79,86,70,Mundanifying Mystics,2383
328,69,58,56,54,45,Mundanifying Mystics,1874
329,29,42,28,51,11,Entity Eliminators,3730
330,63,81,75,56,75,Demon Destroyers,5023
331,44,21,25,19,20,Demon Destroyers,1093
332,47,57,27,13,78,Spectre Slayers,2070
333,52,28,38,10,41,Mundanifying Mystics,3637
334,66,48,61,73,59,Mundanifying Mystics,3334
335,69,63,72,58,47,Mundanifying Mystics,2373
336,56,63,33,54,70,Mundanifying Mystics,1626
337,11,10,22,84,88,Wraith Wranglers,2533
338,26,35,53,24,16,Demon Destroyers,1425
339,33,36,28,25,35,Mundanifying Mystics,3237
340,62,70,93,81,85,Wraith Wranglers,5059
341,45,42,25,17,34,Mundanifying Mystics,3146
342,30,43,23,22,23,Entity Eliminators,1813
343,80,70,42,51,54,Mundanifying Mystics,3398
344,27,21,30,47,31,Demon Destroyers,2853
345,28,27,41,76,23,Demon Destroyers,2664
346,58,73,47,77,55,Entity Eliminators,5028
347,6,14,50,14,10,Mundanifying Mystics,3904
348,19,19,14,34,32,Entity Eliminators,1786
349,58,28,30,66,33,Wraith Wranglers,3969
350,89,66,79,92,48,Entity Eliminators,4129
351,54,34,66,54,28,Entity Eliminators,5318
352,79,78,58,66,82,Wraith Wranglers,3446
353,41,52,84,52,69,Entity Eliminators,5679
354,55,20,68,22,29,Entity Eliminators,2232
355,27,18,36,21,42,Spectre Slayers,2498
356,19,36,7,14,16,Phantom Pummelers,3197
357,20,27,21,48,23,Phantom Pummelers,2156
358,62,53,76,76,37,Wraith Wranglers,7402
359,63,75,64,57,70,Mundanifying Mystics,2587
360,25,15,23,31,36,Phantom Pummelers,2925
361,42,36,23,19,18,Spectre Slayers,1307
362,19,32,11,45,38,Entity Eliminators,2363
363,64,88,85,66,46,Phantom Pummelers,6130
364,94,76,39,88,61,Wraith Wranglers,5189
365,22,15,31,7,17,Mundanifying Mystics,2842
366,41,46,79,81,67,Demon Destroyers,4610
367,21,10,34,30,18,Demon Destroyers,2244
368,65,23,48,18,22,Phantom Pummelers,1653
369,39,37,14,18,71,Spectre Slayers,1841
370,45,77,75,82,63,Entity Eliminators,5358
371,76,81,53,73,56,Demon Destroyers,2072
372,74,78,55,74,57,Entity Eliminators,4711
373,23,13,42,40,63,Entity Eliminators,1127
374,87,78,31,80,44,Demon Destroyers,2986
375,16,25,28,50,53,Entity Eliminators,2954
376,38,19,31,55,23,Phantom Pummelers,1383
377,40,22,6,8,28,Mundanifying Mystics,4593
378,29,25,71,57,35,Demon Destroyers,2540
379,35,59,34,35,44,Phantom Pummelers,4059
380,40,30,15,19,31,Phantom Pummelers,2193
381,46,18,18,37,32,Entity Eliminators,1529
382,45,76,11,47,45,Demon Destroyers,2417
383,49,24,19,17,19,Mundanifying Mystics,2359
384,85,35,82,82,66,Demon Destroyers,2883
385,80,82,71,53,80,Mundanifying Mystics,3716
386,55,16,20,64,38,Mundanifying Mystics,3928
387,72,63,63,80,55,Entity Eliminators,5431
388,11,30,15,23,36,Mundanifying Mystics,2616
389,17,42,15,59,50,Spectre Slayers,1359
390,70,47,11,34,50,Entity Eliminators,2592
391,61,66,68,80,70,Mundanifying Mystics,3732
392,50,41,57,78,70,Wraith Wranglers,6479
393,27,10,34,16,38,Mundanifying Mystics,4241
394,66,67,90,88,74,Spectre Slayers,6178
395,58,31,21,22,59,Demon Destroyers,3000
396,37,74,71,79,80,Wraith Wranglers,5886
397,21,20,27,42,14,Mundanifying Mystics,3727
398,62,63,78,92,51,Mundanifying Mystics,2498
399,12,40,41,22,32,Phantom Pummelers,2327
400,23,35,60,43,18,Mundanifying Mystics,2788
401,60,64,49,58,78,Phantom Pummelers,3204
402,70,53,52,53,60,Phantom Pummelers,2303
403,19,17,10,30,25,Mundanifying Mystics,2532
404,68,56,18,31,22,Entity Eliminators,2219
405,78,84,73,31,66,Demon Destroyers,4315
406,78,80,66,79,81,Wraith Wranglers,6983
407,74,76,56,65,77,Wraith Wranglers,5356
408,44,17,70,74,49,Phantom Pummelers,1943
409,78,61,25,26,74,Entity Eliminators,5100
410,87,75,77,54,77,Wraith Wranglers,4529
411,72,33,29,30,19,Phantom Pummelers,2925
412,61,78,82,75,69,Mundanifying Mystics,3138
413,40,15,45,51,29,Mundanifying Mystics,2552
414,57,50,69,81,65,Wraith Wranglers,6240
415,63,79,71,39,54,Wraith Wranglers,3788
416,66,83,68,81,82,Demon Destroyers,5043
417,60,63,76,57,62,Demon Destroyers,4159
418,28,23,38,14,16,Demon Destroyers,1244
419,73,87,52,76,74,Entity Eliminators,3602
420,59,85,71,52,44,Phantom Pummelers,6977
421,83,71,56,71,56,Entity Eliminators,6226
422,56,28,12,50,24,Demon Destroyers,1621
423,27,27,54,37,31,Wraith Wranglers,1921
424,52,27,33,19,48,Wraith Wranglers,1357
425,61,59,90,89,72,Mundanifying Mystics,2770
426,59,46,17,28,32,Phantom Pummelers,2494
427,57,61,93,65,80,Demon Destroyers,5802
428,30,27,30,35,43,Mundanifying Mystics,4213
429,46,37,33,21,50,Wraith Wranglers,1599
430,22,15,35,37,40,Entity Eliminators,2237
431,36,63,15,58,49,Demon Destroyers,3145
432,19,34,60,88,53,Spectre Slayers,4944
433,49,13,78,34,29,Wraith Wranglers,2675
434,42,27,6,34,35,Phantom Pummelers,2818
435,67,69,78,64,57,Mundanifying Mystics,2739
436,14,20,68,53,47,Demon Destroyers,2301
437,87,56,77,75,41,Entity Eliminators,4324
438,71,32,74,75,57,Wraith Wranglers,6806
439,23,78,40,74,26,Mundanifying Mystics,3091
440,44,39,63,17,35,Spectre Slayers,4332
441,33,30,38,22,15,Entity Eliminators,1594
442,89,77,72,71,66,Mundanifying Mystics,3105
443,46,53,77,87,76,Spectre Slayers,4793
444,36,24,73,36,22,Phantom Pummelers,2218
445,39,13,14,23,20,Entity Eliminators,2416
446,72,73,61,84,64,Mundanifying Mystics,2456
447,31,25,41,19,12,Entity Eliminators,1188
448,62,31,74,72,73,Entity Eliminators,2909
449,16,30,28,21,34,Entity Eliminators,2165
450,65,68,79,72,72,Demon Destroyers,5632
451,25,19,14,17,23,Demon Destroyers,2021
452,76,22,72,76,46,Demon Destroyers,3033
453,57,44,90,92,79,Wraith Wranglers,6056
454,42,49,3,25,13,Wraith Wranglers,2211
455,8,21,78,43,49,Demon Destroyers,3830
456,55,63,72,83,60,Demon Destroyers,4610
457,70,69,13,36,75,Mundanifying Mystics,4340
458,38,25,12,42,36,Mundanifying Mystics,2357
459,58,61,47,86,81,Phantom Pummelers,5039
460,80,49,54,58,67,Demon Destroyers,4986
461,31,30,90,14,51,Mundanifying Mystics,2291
462,41,28,32,17,47,Spectre Slayers,2166
463,49,35,45,12,31,Demon Destroyers,2171
464,55,64,72,84,38,Entity Eliminators,2704
465,62,54,85,67,55,Entity Eliminators,4855
466,36,27,41,48,41,Entity Eliminators,1295
467,69,41,58,38,25,Spectre Slayers,4464
468,33,27,5,40,58,Demon Destroyers,5163
469,66,51,56,86,83,Demon Destroyers,5461
470,57,61,41,43,51,Entity Eliminators,5803
471,14,27,46,23,24,Wraith Wranglers,2261
472,62,66,59,82,81,Demon Destroyers,4873
473,21,11,58,25,14,Demon Destroyers,1306
474,51,78,43,81,88,Mundanifying Mystics,2640
475,70,52,48,87,67,Demon Destroyers,5309
476,26,27,14,37,20,Phantom Pummelers,2269
477,46,39,44,35,20,Demon Destroyers,2062
478,54,20,25,44,36,Demon Destroyers,2477
479,59,61,76,84,68,Phantom Pummelers,3208
480,44,71,46,11,51,Phantom Pummelers,4203
481,58,52,55,54,64,Entity Eliminators,3804
482,62,58,50,65,75,Spectre Slayers,3328
483,52,82,65,65,78,Mundanifying Mystics,3216
484,26,31,88,82,65,Wraith Wranglers,5530
485,89,63,68,77,58,Mundanifying Mystics,3840
486,32,24,53,37,26,Wraith Wranglers,4317
487,35,24,35,65,72,Mundanifying Mystics,2988
488,26,26,21,12,45,Entity Eliminators,1838
489,69,67,81,62,62,Wraith Wranglers,4995
490,17,14,51,27,39,Demon Destroyers,2890
491,67,39,66,53,34,Wraith Wranglers,4304
492,38,21,27,16,21,Wraith Wranglers,1674
493,34,18,47,36,34,Entity Eliminators,2758
494,37,29,41,62,64,Mundanifying Mystics,3156
495,19,31,55,27,24,Entity Eliminators,2313
496,33,23,18,18,29,Spectre Slayers,2246
497,73,49,46,77,71,Entity Eliminators,3759
498,79,53,47,69,57,Demon Destroyers,4857
499,70,62,43,52,46,Entity Eliminators,3760
500,18,12,33,18,26,Mundanifying Mystics,2237
501,47,20,38,37,15,Spectre Slayers,1941
502,41,23,34,41,24,Phantom Pummelers,2399
503,58,23,17,57,53,Entity Eliminators,1694
504,7,15,25,30,44,Entity Eliminators,2357
505,79,79,76,86,74,Demon Destroyers,3151
506,29,28,44,11,14,Mundanifying Mystics,1592
507,29,30,32,26,26,Wraith Wranglers,1930
508,35,22,18,14,20,Phantom Pummelers,1445
509,65,83,44,14,74,Demon Destroyers,3885
510,52,50,44,59,33,Wraith Wranglers,6232
511,31,27,7,24,32,Entity Eliminators,2287
512,48,47,76,81,58,Mundanifying Mystics,2558
513,31,24,60,15,18,Mundanifying Mystics,3130
514,32,11,20,24,26,Demon Destroyers,1769
515,36,17,15,18,15,Mundanifying Mystics,2983
516,80,58,76,85,73,Wraith Wranglers,8193
517,39,21,36,27,20,Demon Destroyers,1225
518,48,20,78,71,58,Phantom Pummelers,2204
519,63,73,67,68,37,Entity Eliminators,4977
520,45,57,26,25,48,Mundanifying Mystics,3544
521,16,33,27,56,37,Phantom Pummelers,2111
522,63,69,25,28,80,Phantom Pummelers,4921
523,18,25,34,52,56,Entity Eliminators,3063
524,35,23,26,36,61,Wraith Wranglers,3380
525,35,18,16,15,32,Entity Eliminators,2108
526,25,8,24,8,40,Demon Destroyers,2165
527,68,70,79,57,58,Phantom Pummelers,3781
528,71,38,65,84,67,Phantom Pummelers,2454
529,29,24,28,15,38,Phantom Pummelers,2254
530,19,24,66,25,20,Mundanifying Mystics,2398
531,24,21,30,49,37,Phantom Pummelers,2397
532,22,34,33,20,48,Mundanifying Mystics,4032
533,64,72,37,15,43,Phantom Pummelers,5342
534,77,74,73,88,56,Mundanifying Mystics,3293
535,82,78,65,72,54,Demon Destroyers,3723
536,51,69,40,85,68,Demon Destroyers,4857
537,32,38,47,39,18,Phantom Pummelers,1790
538,66,72,49,83,76,Demon Destroyers,3773
539,62,79,84,74,56,Mundanifying Mystics,3396
540,38,12,14,46,19,Mundanifying Mystics,3007
541,17,14,10,25,14,Wraith Wranglers,2416
542,56,22,27,50,29,Mundanifying Mystics,3880
543,9,65,50,67,20,Demon Destroyers,2273
544,10,12,29,61,33,Phantom Pummelers,1086
545,36,13,16,15,13,Entity Eliminators,2101
546,62,55,67,90,63,Demon Destroyers,2923
547,37,69,79,39,22,Phantom Pummelers,2914
548,32,31,33,12,25,Mundanifying Mystics,2185
549,18,28,7,15,21,Phantom Pummelers,2065
550,19,24,21,30,56,Phantom Pummelers,2085
551,61,68,59,27,46,Demon Destroyers,2353
552,18,26,21,43,33,Mundanifying Mystics,2417
553,25,62,27,26,17,Entity Eliminators,1298
554,72,79,80,54,67,Wraith Wranglers,4944
555,28,24,70,41,43,Demon Destroyers,3418
556,35,40,25,14,41,Entity Eliminators,3139
557,39,13,24,33,32,Mundanifying Mystics,3340
558,26,45,28,13,20,Wraith Wranglers,1889
559,36,33,17,14,38,Entity Eliminators,2973
